Index       FREQ            VDB(VOUT)         VM(VOUT)     
0        1.00000000e+00    2.36079292e+01    1.51494358e+01
1        1.02329299e+00    2.36079292e+01    1.51494358e+01
2        1.04712855e+00    2.36079292e+01    1.51494358e+01
3        1.07151931e+00    2.36079292e+01    1.51494358e+01
4        1.09647820e+00    2.36079292e+01    1.51494358e+01
5        1.12201845e+00    2.36079292e+01    1.51494358e+01
6        1.14815362e+00    2.36079292e+01    1.51494358e+01
7        1.17489755e+00    2.36079292e+01    1.51494358e+01
8        1.20226443e+00    2.36079292e+01    1.51494358e+01
9        1.23026877e+00    2.36079292e+01    1.51494358e+01
10       1.25892541e+00    2.36079292e+01    1.51494358e+01
11       1.28824955e+00    2.36079292e+01    1.51494358e+01
12       1.31825674e+00    2.36079292e+01    1.51494358e+01
13       1.34896288e+00    2.36079292e+01    1.51494358e+01
14       1.38038426e+00    2.36079292e+01    1.51494358e+01
15       1.41253754e+00    2.36079292e+01    1.51494358e+01
16       1.44543977e+00    2.36079292e+01    1.51494358e+01
17       1.47910839e+00    2.36079292e+01    1.51494358e+01
18       1.51356125e+00    2.36079292e+01    1.51494358e+01
19       1.54881662e+00    2.36079292e+01    1.51494358e+01
20       1.58489319e+00    2.36079292e+01    1.51494358e+01
21       1.62181010e+00    2.36079292e+01    1.51494358e+01
22       1.65958691e+00    2.36079292e+01    1.51494358e+01
23       1.69824365e+00    2.36079292e+01    1.51494358e+01
24       1.73780083e+00    2.36079292e+01    1.51494358e+01
25       1.77827941e+00    2.36079292e+01    1.51494358e+01
26       1.81970086e+00    2.36079291e+01    1.51494357e+01
27       1.86208714e+00    2.36079291e+01    1.51494357e+01
28       1.90546072e+00    2.36079291e+01    1.51494357e+01
29       1.94984460e+00    2.36079291e+01    1.51494357e+01
30       1.99526231e+00    2.36079291e+01    1.51494357e+01
31       2.04173794e+00    2.36079291e+01    1.51494357e+01
32       2.08929613e+00    2.36079291e+01    1.51494357e+01
33       2.13796209e+00    2.36079291e+01    1.51494357e+01
34       2.18776162e+00    2.36079291e+01    1.51494357e+01
35       2.23872114e+00    2.36079291e+01    1.51494357e+01
36       2.29086765e+00    2.36079291e+01    1.51494357e+01
37       2.34422882e+00    2.36079291e+01    1.51494357e+01
38       2.39883292e+00    2.36079291e+01    1.51494357e+01
39       2.45470892e+00    2.36079291e+01    1.51494357e+01
40       2.51188643e+00    2.36079291e+01    1.51494356e+01
41       2.57039578e+00    2.36079291e+01    1.51494356e+01
42       2.63026799e+00    2.36079291e+01    1.51494356e+01
43       2.69153480e+00    2.36079291e+01    1.51494356e+01
44       2.75422870e+00    2.36079291e+01    1.51494356e+01
45       2.81838293e+00    2.36079291e+01    1.51494356e+01
46       2.88403150e+00    2.36079291e+01    1.51494356e+01
47       2.95120923e+00    2.36079290e+01    1.51494356e+01
48       3.01995172e+00    2.36079290e+01    1.51494356e+01
49       3.09029543e+00    2.36079290e+01    1.51494355e+01
50       3.16227766e+00    2.36079290e+01    1.51494355e+01
51       3.23593657e+00    2.36079290e+01    1.51494355e+01
52       3.31131121e+00    2.36079290e+01    1.51494355e+01
53       3.38844156e+00    2.36079290e+01    1.51494355e+01
54       3.46736850e+00    2.36079290e+01    1.51494355e+01
55       3.54813389e+00    2.36079290e+01    1.51494354e+01
56       3.63078055e+00    2.36079290e+01    1.51494354e+01
57       3.71535229e+00    2.36079290e+01    1.51494354e+01
58       3.80189396e+00    2.36079289e+01    1.51494354e+01
59       3.89045145e+00    2.36079289e+01    1.51494354e+01
60       3.98107171e+00    2.36079289e+01    1.51494353e+01
61       4.07380278e+00    2.36079289e+01    1.51494353e+01
